Date,Open,High,Low,Close,Volume,Change
2023-07-27,83000,84000,81600,83100,1863363,0.00605326877
2023-07-28,83900,87200,83800,84200,1838414,0.0132370638
2023-07-31,84800,84900,82700,82700,1143605,-0.0178147268
2023-08-01,82000,83400,81600,83300,1129424,0.00725513906
2023-08-02,82300,82700,80000,80000,2159024,-0.0396158463
2023-08-03,80000,81500,80000,80700,989975,0.00875
2023-08-04,80900,81100,80100,80600,616785,-0.00123915737
2023-08-07,79900,80000,77300,77600,2254858,-0.0372208437
2023-08-08,77700,78600,77700,78300,1527761,0.00902061856
2023-08-09,77700,78900,77700,78900,946574,0.00766283525
2023-08-10,78800,79100,77800,78900,1050522,0
2023-08-11,79400,81400,79300,80300,1290039,0.0177439797
2023-08-14,79700,80200,78600,78700,875348,-0.0199252802
2023-08-16,77900,79000,77900,78000,701727,-0.00889453621
2023-08-17,79000,79000,76600,78400,1085644,0.00512820513
2023-08-18,77200,79300,77100,78400,631497,0
2023-08-21,79000,79000,77900,78100,483738,-0.00382653061
2023-08-22,78300,79000,78200,78800,563960,0.00896286812
2023-08-23,78100,78800,77600,78700,541701,-0.00126903553
2023-08-24,79600,79600,78400,78800,732961,0.00127064803
2023-08-25,78000,78800,77800,78100,656919,-0.00888324873
2023-08-28,78800,78800,77700,78300,465264,0.00256081946
2023-08-29,78600,80700,78300,80200,1066302,0.024265645
2023-08-30,81000,81100,80100,80400,642079,0.00249376559
2023-08-31,80600,80700,79500,80200,1221196,-0.00248756219
2023-09-01,79400,80600,79200,79700,430154,-0.00623441397
2023-09-04,79300,80200,78500,80000,625059,0.00376411543
2023-09-05,80000,80200,78700,79100,623988,-0.01125
2023-09-06,79100,79700,78600,78900,693599,-0.00252844501
2023-09-07,78200,78500,77900,78300,950333,-0.00760456274
2023-09-08,78300,78500,77600,77800,470141,-0.00638569604
2023-09-11,77400,78100,77000,77600,462259,-0.00257069409
2023-09-12,78000,78600,77600,77700,615337,0.00128865979
2023-09-13,78300,79500,78000,78500,915335,0.0102960103
2023-09-14,78900,79200,78500,79200,770400,0.00891719745
2023-09-15,79800,80100,79000,80100,1406794,0.0113636364
2023-09-18,79500,79900,79000,79400,571336,-0.00873907615
2023-09-19,79100,80200,79100,79400,621704,0
2023-09-20,79400,81800,79100,81400,1466060,0.0251889169
2023-09-21,81400,81400,79700,79800,650659,-0.0196560197
2023-09-22,78600,80400,78600,80200,620891,0.00501253133
2023-09-25,79800,82100,79500,82100,1163419,0.0236907731
2023-09-26,81600,81900,80500,80900,828358,-0.0146163216
2023-09-27,79900,81700,79500,81400,1147397,0.00618046972
2023-10-04,81300,82800,80000,81900,1734756,0.00614250614
2023-10-05,82800,83500,81800,83500,1483105,0.0195360195
2023-10-06,83500,85400,82600,85200,1594554,0.0203592814
2023-10-10,86900,86900,82900,84100,2220163,-0.0129107981
2023-10-11,84000,85800,83900,84500,1561647,0.00475624257
2023-10-12,84600,84600,83300,84500,842777,0
2023-10-13,85200,85200,84000,84200,881827,-0.00355029586
2023-10-16,84200,85200,83900,83900,957963,-0.00356294537
2023-10-17,84600,84700,82300,82300,1050207,-0.0190703218
2023-10-18,83100,84400,82600,83900,1037347,0.0194410693
2023-10-19,83300,84600,83300,84100,1082319,0.00238379023
2023-10-20,83500,83600,81400,81700,1257281,-0.0285374554
2023-10-23,82500,83700,81900,83000,816603,0.0159118727
2023-10-24,83900,83900,81600,82100,892518,-0.0108433735
2023-10-25,81800,83200,81700,82000,609588,-0.0012180268
2023-10-26,81500,82100,80600,81000,1097964,-0.012195122
2023-10-27,81800,82500,78500,79700,1115007,-0.0160493827
2023-10-30,79500,80100,77500,78100,1211921,-0.0200752823
2023-10-31,79100,79400,76900,76900,1040116,-0.0153649168
2023-11-01,77400,77900,76800,77400,754912,0.00650195059
2023-11-02,77900,79700,77700,78500,1387393,0.0142118863
2023-11-03,79200,79400,77200,77600,1314264,-0.0114649682
2023-11-06,78700,79200,77900,79000,2083115,0.0180412371
2023-11-07,78600,78700,77300,77500,1285076,-0.0189873418
2023-11-08,77800,77900,77000,77000,1038502,-0.0064516129
2023-11-09,77300,77900,77000,77500,837826,0.00649350649
2023-11-10,77000,77900,77000,77000,660121,-0.0064516129
2023-11-13,77600,77700,77000,77000,518786,0
2023-11-14,77700,78500,77300,78200,1037469,0.0155844156
2023-11-15,80100,82200,79900,81500,2150765,0.0421994885
2023-11-16,81600,84500,81300,84500,2107692,0.036809816
2023-11-17,84100,85300,83600,85200,1271006,0.00828402367
2023-11-20,84600,84900,83700,84400,973922,-0.00938967136
2023-11-21,84400,84600,83600,83600,916802,-0.00947867299
2023-11-22,83000,83400,82200,83100,730476,-0.00598086124
2023-11-23,83100,84600,82700,84500,636051,0.0168471721
2023-11-24,84500,84700,83700,84200,594791,-0.00355029586
2023-11-27,84200,85000,83900,84100,539991,-0.00118764846
2023-11-28,84900,84900,83700,84600,774545,0.00594530321
2023-11-29,84200,86200,84200,86000,1346329,0.0165484634
2023-11-30,85800,86800,84700,85900,1896215,-0.0011627907
2023-12-01,84800,86100,84400,85800,695821,-0.00116414435
2023-12-04,85200,86000,84000,84100,1026876,-0.0198135198
2023-12-05,84100,84700,83500,84100,572456,0
2023-12-06,84300,85200,84100,84500,765813,0.00475624257
2023-12-07,84000,85300,83200,85100,675617,0.00710059172
2023-12-08,85700,86700,85300,86400,834740,0.0152761457
2023-12-11,85900,87100,85700,87100,780527,0.00810185185
2023-12-12,86300,88000,86300,87400,1091566,0.00344431688
2023-12-13,87400,87900,87000,87400,601164,0
2023-12-14,88000,88000,85600,87200,1465254,-0.00228832952
2023-12-15,87700,89500,87600,89300,1991815,0.0240825688
2023-12-18,89900,90000,89000,89400,907576,0.00111982083
2023-12-19,89700,89800,89000,89300,627320,-0.00111856823
2023-12-20,89500,95000,89400,95000,3016274,0.0638297872
2023-12-21,94300,98900,93900,95400,2479053,0.00421052632
2023-12-22,96000,97600,95400,95600,1331329,0.00209643606
2023-12-26,96100,96600,95000,96300,1043738,0.00732217573
2023-12-27,96000,97300,95500,97000,1040291,0.00726895119
2023-12-28,98100,100900,97600,100000,2100873,0.0309278351
2024-01-02,99000,99400,97400,97600,1341485,-0.024
2024-01-03,96500,96800,93700,93800,1694613,-0.0389344262
2024-01-04,93000,93400,91800,92900,1589156,-0.00959488273
2024-01-05,93500,93700,91200,91600,1110042,-0.0139935414
